Date,Apple ,Google ,Microsoft ,Amazon ,Intel ,VTI ,,,,,
7/29/2011,13.945714,300.717834,27.4,222.520004,22.33,66.849998,,,,,
8/1/2011,14.169642,302.252075,27.27,221.320007,22.24,66.550003,,,,,
8/2/2011,13.889643,295.093903,26.799999,211.699997,21.719999,64.790001,,,,,
8/3/2011,14.020357,299.462555,26.92,209.960007,21.809999,65.150002,,,,,
8/4/2011,13.4775,287.681702,25.940001,201.479996,20.85,61.880001,,,,,
8/5/2011,13.343572,288.438873,25.68,202.699997,20.790001,61.619999,,,,,
8/8/2011,12.614643,271.990509,24.48,193.699997,20.110001,57.349998,,,,,
8/9/2011,13.3575,285.634369,25.58,205.089996,20.6,60.220001,,,,,
8/10/2011,12.988929,273.479919,24.200001,194.130005,19.93,57.66,,,,,
8/11/2011,13.346429,280.015442,25.190001,198.360001,20.76,60.299999,,,,,
8/12/2011,13.463928,280.832367,25.1,202.300003,20.65,60.700001,,,,,
8/15/2011,13.693214,277.574585,25.51,202.949997,20.889999,62.02,,,,,
8/16/2011,13.588572,268.493622,25.35,197.679993,20.790001,61.43,,,,,
8/17/2011,13.587143,265.579529,25.25,195.929993,20.67,61.439999,,,,,
8/18/2011,13.073215,251.49733,24.67,182.520004,19.77,58.700001,,,,,
8/19/2011,12.715357,244.543396,24.049999,178.929993,19.190001,57.650002,,,,,
8/22/2011,12.73,248.154861,23.98,177.539993,19.379999,57.66,,,,,
8/23/2011,13.342857,258.441284,24.719999,193.550003,19.709999,59.639999,,,,,
8/24/2011,13.435,260.667938,24.9,193.729996,19.799999,60.490002,,,,,
8/25/2011,13.347143,259.049011,24.57,192.029999,19.42,59.48,,,,,
8/26/2011,13.699286,262.446289,25.25,199.270004,19.77,60.470001,,,,,
8/29/2011,13.9275,268.533478,25.84,206.529999,20.299999,62.360001,,,,,
8/30/2011,13.928214,269.340454,26.23,210.919998,20.24,62.529999,,,,,
8/31/2011,13.743929,269.469971,26.6,215.229996,20.129999,62.779999,,,,,
9/1/2011,13.608214,265.255768,26.209999,212.539993,19.99,62.07,,,,,
9/2/2011,13.358929,261.440063,25.799999,210,19.639999,60.369999,,,,,
9/6/2011,13.562143,260.115021,25.51,216.179993,19.540001,59.990002,,,,,
9/7/2011,13.711785,266.017914,26,219.899994,20.08,61.779999,,,,,
9/8/2011,13.719286,266.481171,26.219999,217.259995,19.9,61.040001,,,,,
9/9/2011,13.481428,261.445038,25.74,211.389999,19.700001,59.450001,,,,,
9/12/2011,13.569285,264.07019,25.889999,216.559998,20.280001,59.869999,,,,,
9/13/2011,13.736428,263.771332,26.040001,219.529999,20.76,60.470001,,,,,
9/14/2011,13.903571,265.041565,26.5,222.570007,21.120001,61.330002,,,,,
9/15/2011,14.034286,270.266968,26.99,226.779999,21.540001,62.400002,,,,,
9/16/2011,14.303572,272.319275,27.120001,239.300003,21.969999,62.700001,,,,,
9/19/2011,14.701072,272.314301,27.209999,241.690002,21.93,62.040001,,,,,
9/20/2011,14.766071,272.294373,26.98,233.25,22.200001,61.82,,,,,
9/21/2011,14.719286,268.593262,25.99,231.869995,21.940001,59.810001,,,,,
9/22/2011,14.350715,259.357849,25.059999,223.229996,21.620001,57.970001,,,,,
9/23/2011,14.439285,261.773804,25.059999,223.610001,22.16,58,,,,,
9/26/2011,14.398929,264.951904,25.440001,229.850006,22.24,59.369999,,,,,
9/27/2011,14.259286,268.662994,25.67,224.210007,22.540001,60.119999,,,,,
9/28/2011,14.178928,263.432587,25.58,229.710007,22.309999,58.75,,,,,
9/29/2011,13.948929,262.765106,25.450001,222.440002,22.209999,59.18,,,,,
9/30/2011,13.618571,256.55835,24.889999,216.229996,21.34,57.720001,,,,,
10/3/2011,13.378572,246.834808,24.530001,211.979996,20.620001,55.810001,,,,,
10/4/2011,13.303572,250.012894,25.34,212.5,21.219999,57.209999,,,,,
10/5/2011,13.508928,251.407669,25.889999,219.5,21.85,58.380001,,,,,
10/6/2011,13.4775,256.393982,26.34,221.509995,22.030001,59.509998,,,,,
10/7/2011,13.207143,256.598206,26.25,224.740005,22.290001,58.970001,,,,,
10/10/2011,13.886071,267.582031,26.940001,231.320007,22.879999,61,,,,,
10/11/2011,14.296071,270.575806,27,235.479996,22.99,61.049999,,,,,
10/12/2011,14.363929,273.225891,26.959999,236.809998,23.120001,61.630001,,,,,
10/13/2011,14.586785,278.451294,27.18,236.149994,23.389999,61.549999,,,,,
10/14/2011,15.071428,294.73526,27.27,246.710007,23.5,62.669998,,,,,
10/17/2011,14.999643,290.117554,26.98,242.330002,23.280001,61.400002,,,,,
10/18/2011,15.08,294.152435,27.309999,243.880005,23.4,62.639999,,,,,
10/19/2011,14.236428,289.265747,27.129999,231.529999,24.24,61.810001,,,,,
10/20/2011,14.118215,290.745209,27.040001,233.610001,23.610001,62.09,,,,,
10/21/2011,14.031072,294.142487,27.16,234.779999,24.030001,63.259998,,,,,
10/24/2011,14.491786,297.096405,27.190001,237.610001,24.59,64.32,,,,,
10/25/2011,14.206072,290.49118,26.809999,227.149994,24.629999,63.009998,,,,,
10/26/2011,14.307143,292.060272,26.59,198.399994,24.700001,63.689999,,,,,
10/27/2011,14.453215,298.217194,27.25,206.779999,25.129999,65.889999,,,,,
